,ObjectType,Actionable Properties
0,person,
1,bicycle,Moveable
2,car,"Fillable, Moveable, Openable"
3,motorcycle,Moveable
4,airplane,"Fillable, Moveable"
5,bus,"Fillable, Moveable"
6,train,"Fillable, Moveable"
7,truck,"Fillable, Moveable, Openable"
8,boat,"Fillable, Moveable"
9,traffic_light,
10,fire_hydrant,
11,stop_sign ,
12,parking_meter,Fillable
13,bench,Moveable
14,bird,
15,cat,
16,dog,
17,horse,
18,sheep,
19,cow,
20,elephant,
21,bear,
22,zebra,
23,giraffe,
24,backpack,"Pickupable, Openable, Fillable"
25,umbrella,Pickupable
26,handbag,Pickupable
27,tie,Pickupable
28,suitcase,"Pickupable, Openable, Fillable"
29,frisbee,Pickupable
30,skis,Pickupable
31,snowboard,Pickupable
32,sports_ball,Pickupable
33,kite,Pickupable
35,baseball_glove,Pickupable
36,skateboard,Pickupable
37,surfboard,Pickupable
40,wine_glass,"Pickupable, Fillable, Breakable, Dirtyable"
46,banana,"Pickupable, Sliceable"
48,sandwich,"Pickupable, Sliceable"
49,orange,"Pickupable, Sliceable"
50,broccoli,"Pickupable, Sliceable"
51,carrot,"Pickupable, Sliceable"
52,hot_dog,"Pickupable, Sliceable"
53,pizza,"Pickupable, Sliceable"
54,donut,"Pickupable, Sliceable"
55,cake,"Pickupable, Sliceable"
57,couch,Moveable
58,potted_plant,"Fillable, Moveable"
64,mouse,Pickupable
66,keyboard,Toggleable
69,oven,"Openable, Toggleable"
74,clock,Pickupable
76,scissors,Pickupable
77,teddy_bear,Pickupable
78,hair_drier,Pickupable
79,tooth_brush,Pickupable
,,
,,
